"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IdentifiableMedication","MedicationKnowledge.code","MedicationKnowledge.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Code that identifies this medication","A code that specifies this medication, or a textual description if no code is available. Usage note: This could be a standard medication code such as a code from RxNorm, SNOMED CT, IDMP etc. It could also be a national or local formulary code, optionally with translations to other code systems.","Depending on the context of use, the code that was actually selected by the user (prescriber, dispenser, etc.) will have the coding.userSelected set to true.  As described in the coding datatype: ""A coding may be marked as a ""userSelected"" if a user selected the particular coded value in a user interface (e.g. the user selects an item in a pick-list). If a user selected coding exists, it is the preferred choice for performing translations etc. Other codes can only be literal translations to alternative code systems, or codes at a lower level of granularity (e.g. a generic code for a vendor-specific primary one).","","","","","","","","",,"example","A coded concept that defines the type of a medication.","http://hl7.org/fhir/ValueSet/medication-codes","",,,,"MedicationKnowledge.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.status","MedicationKnowledge.status","","","",0,1,"","Y","Y","code {[]} {[]}
","active | entered-in-error | inactive","A code to indicate if the medication referred to by this MedicationKnowledge is in active use within the drug database or inventory system. The status refers to the validity about the information of the medication and not to its medicinal properties.","This status is intended to identify if the medication in a local system is in active use within a drug database or inventory.  For example, a pharmacy system may create a new drug file record for a compounded product ""ABC Hospital Special Cream"" with an active status.  At some point in the future, it may be determined that the drug record was created with an error and the status is changed to ""entered in error"".   This status is not intended to specify if a medication is part of a particular formulary.  It is possible that the drug record may be referenced by multiple formularies or catalogues and each of those entries would have a separate status.","","","","","","","","",,"required","A coded concept defining if the medication is in active use.","http://hl7.org/fhir/ValueSet/medicationknowledge-status|5.0.0","",,,,"MedicationKnowledge.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.author","MedicationKnowledge.author","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Creator or owner of the knowledge or information about the medication","The creator or owner of the knowledge or information about the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.intendedJurisdiction","MedicationKnowledge.intendedJurisdiction","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes that identify the different jurisdictions for which the information of this resource was created","Lists the jurisdictions that this medication knowledge was written for.","The codes could have varying granularity from a country or group of countries down to a specific district.","","","","","","","","",,,,,"",,,,"MedicationKnowledge.intendedJurisdiction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.name","MedicationKnowledge.name","","","",1,1,"","","Y","string {[]} {[]}
","A name associated with the medication being described","All of the names for a medication, for example, the name(s) given to a medication in different countries.  For example, acetaminophen and paracetamol or salbutamol and albuterol.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge","MedicationKnowledge.relatedMedicationKnowledge","","","",0,*,"","","","BackboneElement {[]} {[]}
","Associated or related medication information","Associated or related medications. For example, if the medication is a branded product (e.g. Crestor), this is the Therapeutic Moeity (e.g. Rosuvastatin) or if this is a generic medication (e.g. Rosuvastatin), this would link to a branded product (e.g. Crestor.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge.id","MedicationKnowledge.relatedMedicationKnowledge.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge.extension","MedicationKnowledge.relatedMedicationKnowledge.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge.modifierExtension","MedicationKnowledge.relatedMedicationKnowledge.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge.type","MedicationKnowledge.relatedMedicationKnowledge.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Category of medicationKnowledge","The category of the associated medication knowledge reference.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.relatedMedicationKnowledge.reference","MedicationKnowledge.relatedMedicationKnowledge.reference","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationKnowledge]]}
","Associated documentation about the associated medication knowledge","Associated documentation about the associated medication knowledge.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge.reference",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.associatedMedication","MedicationKnowledge.associatedMedication","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}
","The set of medication resources that are associated with this medication","Links to associated medications that could be prescribed, dispensed or administered.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.associatedMedication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.productType","MedicationKnowledge.productType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category of the medication or product","Category of the medication or product (e.g. branded product, therapeutic moeity, generic product, innovator product, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.productType",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monograph","MedicationKnowledge.monograph","","","",0,*,"","","","BackboneElement {[]} {[]}
","Associated documentation about the medication","Associated documentation about the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monograph",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monograph.id","MedicationKnowledge.monograph.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.monograph.extension","MedicationKnowledge.monograph.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.monograph.modifierExtension","MedicationKnowledge.monograph.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.monograph.type","MedicationKnowledge.monograph.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The category of medication document","The category of documentation about the medication. (e.g. professional monograph, patient education monograph).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monograph.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monograph.source","MedicationKnowledge.monograph.source","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Associated documentation about the medication","Associated documentation about the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monograph.source",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.preparationInstruction","MedicationKnowledge.preparationInstruction","","","",0,1,"","","","markdown {[]} {[]}
","The instructions for preparing the medication","The instructions for preparing the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.preparationInstruction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.cost","MedicationKnowledge.cost","","","",0,*,"","","","BackboneElement {[]} {[]}
","The pricing of the medication","The price of the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.cost",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.cost.id","MedicationKnowledge.cost.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.cost.extension","MedicationKnowledge.cost.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.cost.modifierExtension","MedicationKnowledge.cost.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.cost.effectiveDate","MedicationKnowledge.cost.effectiveDate","","","",0,*,"","","","Period {[]} {[]}
","The date range for which the cost is effective","The date range for which the cost information of the medication is effective.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.cost.effectiveDate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.cost.type","MedicationKnowledge.cost.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The category of the cost information","The category of the cost information.  For example, manufacturers' cost, patient cost, claim reimbursement cost, actual acquisition cost.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.cost.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.cost.source","MedicationKnowledge.cost.source","","","",0,1,"","","","string {[]} {[]}
","The source or owner for the price information","The source or owner that assigns the price to the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.cost.source",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.cost.cost[x]","MedicationKnowledge.cost.cost[x]","","","",1,1,"","","","Money {[]} {[]}
CodeableConcept {[]} {[]}","The price or category of the cost of the medication","The price or representation of the cost (for example, Band A, Band B or $, $$) of the medication.","","","","","","","","","",,"example","A coded concept defining the category of a medication.","http://hl7.org/fhir/ValueSet/medication-cost-category","",,,,"MedicationKnowledge.cost.cost[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monitoringProgram","MedicationKnowledge.monitoringProgram","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Program under which a medication is reviewed","The program under which the medication is reviewed.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monitoringProgram",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monitoringProgram.id","MedicationKnowledge.monitoringProgram.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.monitoringProgram.extension","MedicationKnowledge.monitoringProgram.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.monitoringProgram.modifierExtension","MedicationKnowledge.monitoringProgram.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.monitoringProgram.type","MedicationKnowledge.monitoringProgram.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of program under which the medication is monitored","Type of program under which the medication is monitored.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monitoringProgram.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.monitoringProgram.name","MedicationKnowledge.monitoringProgram.name","","","",0,1,"","","","string {[]} {[]}
","Name of the reviewing program","Name of the reviewing program.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monitoringProgram.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline","MedicationKnowledge.indicationGuideline","","","",0,*,"","","","BackboneElement {[]} {[]}
","Guidelines or protocols for administration of the medication for an indication","Guidelines or protocols that are applicable for the administration of the medication based on indication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.id","MedicationKnowledge.indicationGuideline.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
